texto,categoria
"Reunião agendada com o cliente amanhã às 10h.",produtivo
"Segue em anexo o relatório de desempenho mensal.",produtivo
"Favor revisar o contrato atualizado antes da assinatura.",produtivo
"Lembrete: prazo final para envio do projeto é sexta-feira.",produtivo
"Confirmação de inscrição no curso de atualização profissional.",produtivo
"Atualização do cronograma da equipe de desenvolvimento.",produtivo
"Convite para participar da conferência de tecnologia.",produtivo
"Pagamento da fatura de serviços foi confirmado.",produtivo
"O documento solicitado já está disponível no sistema.",produtivo
"Agendamento de manutenção preventiva dos equipamentos.",produtivo
"Planilha de custos atualizada para revisão.",produtivo
"Feedback sobre a última apresentação da equipe.",produtivo
"Convite para workshop de liderança e inovação.",produtivo
"Solicitação de orçamento para fornecimento de materiais.",produtivo
"Relatório financeiro do último trimestre em anexo.",produtivo
"Lembrete: reunião de alinhamento com diretoria amanhã.",produtivo
"Ata da reunião semanal disponível no sistema.",produtivo
"Convite para palestra sobre inteligência artificial.",produtivo
"Atualização sobre o status do projeto em andamento.",produtivo
"Confirmação de recebimento da proposta enviada.",produtivo
"Agenda de compromissos da semana atualizada.",produtivo
"Convite para participar de pesquisa interna de satisfação.",produtivo
"Relatório de desempenho individual disponível.",produtivo
"Solicitação de assinatura digital do contrato.",produtivo
"Nova versão do software disponível para download.",produtivo
"Treinamento de segurança agendado para a próxima semana.",produtivo
"Lembrete de prazo para envio de documentação fiscal.",produtivo
"Atualização do manual de procedimentos internos.",produtivo
"Convite para treinamento sobre metodologias ágeis.",produtivo
"Confirmação de matrícula em curso online corporativo.",produtivo
"Agenda da próxima semana enviada pela secretaria.",produtivo
"Solicitação de parecer técnico sobre novo equipamento.",produtivo
"Relatório consolidado de vendas disponível.",produtivo
"Planilha com metas de desempenho revisada.",produtivo
"Agendamento de call com parceiro internacional confirmado.",produtivo
"Documento de compliance disponível para leitura.",produtivo
"Solicitação de revisão em proposta comercial.",produtivo
"Relatório anual de auditoria publicado.",produtivo
"Lembrete: prazo final para entrega de artigos técnicos.",produtivo
"Atualização do plano estratégico enviada.",produtivo
"Convite para fórum empresarial sobre sustentabilidade.",produtivo
"Notificação de aprovação de orçamento enviada.",produtivo
"Checklist de atividades da equipe disponível.",produtivo
"Relatório de indicadores de performance atualizado.",produtivo
"Confirmação de inscrição em feira internacional.",produtivo
"Solicitação de análise de risco de novo projeto.",produtivo
"Lembrete: envio de relatórios até quinta-feira.",produtivo
"Agenda de entrevistas com candidatos disponível.",produtivo
"Convite para treinamento sobre LGPD.",produtivo
"Planilha com KPIs do mês atualizada.",produtivo
"Relatório de pesquisa de mercado finalizado.",produtivo
"Solicitação de atualização cadastral.",produtivo
"Confirmação de recebimento de documentos legais.",produtivo
